missingness_mechanism,mask_rate,strategy,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_brier_mean,risk_brier_std,risk_nll_mean,risk_nll_std,risk_ece_mean,risk_ece_std,aurc_mean,aurc_std,attribution_macro_f1_all_causes_mean,attribution_macro_f1_all_causes_std,attribution_micro_f1_all_causes_mean,attribution_micro_f1_all_causes_std,attribution_macro_f1_observable_causes_mean,attribution_macro_f1_observable_causes_std,attribution_micro_f1_observable_causes_mean,attribution_micro_f1_observable_causes_std
MAR,0.5,modular_inference,0.7491573146956234,0.0016410706979421,0.6123791192571596,0.0039349569143048,0.1772029183611086,0.0008386314269164,0.5363236084905296,0.0019367482234892,0.0355671170052152,0.0033892393374305,0.1922131972363727,0.0014928639498394,0.5326364405585441,0.0014936847693728,0.549699896722685,0.0016984825793187,0.8717099223219819,0.0020141241233545,0.8898875148101828,0.0008760670566629
MAR,0.5,zero_imputation,0.5573768650131308,0.0033060089718613,0.3983802955764265,0.0036530309556928,0.2138770999012356,0.0005931426568511,0.6189297310034404,0.0012648825552771,0.0276608661199676,0.0077186783535238,0.2962104137239546,0.0018458808095644,0.5326364405585441,0.0014936847693728,0.549699896722685,0.0016984825793187,0.8717099223219819,0.0020141241233545,0.8898875148101828,0.0008760670566629
MAR,0.7,axis_dropout_training,0.5634400093819221,0.0020605903208811,0.3825660754079577,0.0032820046444222,0.215006405313913,0.0006404516526747,0.6210635237824118,0.0013869181608619,0.0207845388904533,0.0024141564519063,0.2883832878242409,0.0018565566410308,0.3645769946550977,0.0026246529738858,0.3772590996086598,0.0026819334642967,0.9037225576695888,0.0013727295912036,0.9206262941145048,0.0006069234547491
MAR,0.7,missing_indicator,0.7436280730301866,0.0030618442919307,0.5710205350938554,0.0061381114457351,0.1824655005621895,0.001047858666895,0.5430798146892876,0.0025353020002397,0.0175602963731575,0.0012035356965688,0.170292124709626,0.0023314231981709,0.3651213930270297,0.0027194571728273,0.3780019142224259,0.0027425026578207,0.914979359435968,0.00355210526503,0.9244587990867588,0.0010602311297188
MAR,0.7,modular_inference,0.6677153056341203,0.0011944348952466,0.5241172072185873,0.0054529088047964,0.1965159068517917,0.0007333091296725,0.5813774760731691,0.0016891007133519,0.0522796722655658,0.0042058371940869,0.2423880741821259,0.0016400957980627,0.3649182538994489,0.0026272445557039,0.377479149627709,0.0026648982247084,0.905630524372766,0.0015963000378808,0.921735802382838,0.0008920668902783
MAR,0.7,zero_imputation,0.5630054775403832,0.0020429357552257,0.3825802813807842,0.0035054297605284,0.2150640424012175,0.0006104730882163,0.6211995602944956,0.0012950410370283,0.0288389481382139,0.0023436381456218,0.2889652744334065,0.0019048404926003,0.3649182538994489,0.0026272445557039,0.377479149627709,0.0026648982247084,0.905630524372766,0.0015963000378808,0.921735802382838,0.0008920668902783
MNAR,0.1,axis_dropout_training,0.718835375370871,0.0016829171029844,0.6004625332766352,0.0039050469349532,0.1849491649985885,0.0005751368733582,0.5561655978045742,0.0013756474929891,0.0348614464569108,0.0012527755789749,0.2124198237691564,0.0020559819002163,0.6689954402179158,0.0017363487777334,0.6935192727149474,0.0015815323408296,0.8648813110727275,0.0010550585140052,0.883352994632278,0.0010660557022253
MNAR,0.1,missing_indicator,0.836125439898678,0.0016570914433254,0.7474569192267967,0.0018019693157796,0.1455449910117098,0.0008176336077173,0.4543407720642844,0.0024555642680026,0.0278916794099221,0.0033795417833381,0.1306749787843338,0.0020559899806305,0.6677899332146688,0.0029564924477555,0.6917891889181261,0.0020735813380524,0.8636414657152367,0.0025638490919227,0.881038355406492,0.0019942152141543
MNAR,0.1,modular_inference,0.7922093045780766,0.0020157316553722,0.7055869339353444,0.0029184520914479,0.1584458842081728,0.0007144883445667,0.4897278311619594,0.0018974395348916,0.0188037995901777,0.0020903252465331,0.1648583318819684,0.0022186310488979,0.6665743537991917,0.0022716729285836,0.6914960303744945,0.0020262932509112,0.8632311483300551,0.0026715725563462,0.8809682226810118,0.0022096476380703
MNAR,0.1,zero_imputation,0.7190303859991767,0.0019442849565621,0.6008861434090436,0.004360326811987,0.1830028715035387,0.00063796699035,0.549595205450726,0.0014249054991394,0.0149266069807807,0.0016984826192686,0.2126085172300417,0.0019083415397,0.6665743537991917,0.0022716729285836,0.6914960303744945,0.0020262932509112,0.8632311483300551,0.0026715725563462,0.8809682226810118,0.0022096476380703
MNAR,0.3,axis_dropout_training,0.5311716641274432,0.0029561033248614,0.3852348598384982,0.0051842160806776,0.2163283916759912,0.0005163450436046,0.6242598416034504,0.0010811244285789,0.0221603071996483,0.0048702938586897,0.3314389093054991,0.0008232472666372,0.3127159042173714,0.0012250065554363,0.3360432164774681,0.0011088057236695,0.8216639124467104,0.0067658986291346,0.8669578337248007,0.0030917940085183
MNAR,0.3,missing_indicator,0.8164600924499149,0.0007572180320176,0.7085254159936432,0.002458065360457,0.1553051661535603,0.0004654703796386,0.4779034125505975,0.00147261669227,0.0219221671193924,0.001865505904509,0.1384786399310419,0.0017991354690648,0.3126407990499772,0.00086397781443,0.3363693110830924,0.0010579756995471,0.826927566229718,0.0066055991477096,0.8681114247332161,0.0028032882913443
MNAR,0.3,modular_inference,0.6832938033581072,0.002872170240761,0.6046980274391718,0.0051260501584377,0.1834875281529694,0.0003963530056143,0.5517566652347602,0.0009377143036904,0.0306328067648119,0.0019705903829274,0.2407911286256523,0.0010738894835797,0.3124635098871923,0.0013940626302862,0.3363736392029007,0.0012747849732439,0.8280177259518358,0.0043497761298125,0.869407452066239,0.0021370773103628
MNAR,0.3,zero_imputation,0.5313083530952216,0.0027774039814713,0.3861672491502858,0.0051394633117578,0.2149974591645771,0.0004721937331551,0.6214018063537938,0.0009840266724588,0.016311284542423,0.0018425747719687,0.3318396828598886,0.0007839683201688,0.3124635098871923,0.0013940626302862,0.3363736392029007,0.0012747849732439,0.8280177259518358,0.0043497761298125,0.869407452066239,0.0021370773103628
MNAR,0.5,axis_dropout_training,0.4944276222517352,0.0036514910172372,0.3391673722498131,0.0032901517441512,0.217802065398232,0.0006702576500347,0.6272922898616428,0.0014063183612712,0.0043143913843794,0.0032783667190642,0.3436333709392461,0.0021980711373546,0.1320743171770427,0.0007079042831919,0.1397685306884956,0.000807411706188,0.839804477169948,0.0043898403151605,0.8783575528843605,0.0018899834231777
MNAR,0.5,missing_indicator,0.7774487566752514,0.0017396171205305,0.6546749043075899,0.0027545910299889,0.1710759817546019,0.0007595575628169,0.515323127184792,0.0022502528958864,0.0312943902544001,0.0020495372188499,0.1552178820093309,0.0023486126517364,0.1322108790212202,0.0007658145214784,0.1399493800984626,0.0010201174862205,0.8426362810424983,0.0086365852240605,0.8792780644768332,0.0042467942501712
