suite,split,method,n,seed_n,dataset_n,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_coverage_auc_mean,risk_coverage_auc_std,selective_risk_at_80_mean,selective_risk_at_80_std,selective_risk_at_90_mean,selective_risk_at_90_std,worst_slice_risk_mean,worst_slice_risk_std,coverage_gap_worst_minus_overall_mean,coverage_gap_worst_minus_overall_std,route_group,paper_role,result_source
BindingDB10k,temporal,risk_validation_knn_error,10,10,1,0.5075593636682655,1.1702778228589004e-16,0.2053690582706285,0.0,0.1070670586719293,0.0,0.844640568505714,0.0,0.1840747945098184,0.0,0.2027148356081016,0.0,0.2042740414833438,0.0,0.21173184357541902,2.925694557147251e-17,0.22253922967189727,2.925694557147251e-17,0.0153999637091019,0.0,Direct mechanism competitors,direct-3,rerun_same_protocol
ChEMBL10k,assay,risk_applicability_domain,10,10,1,0.5157242945385099,0.011167659862864577,0.2029237246856606,0.01658903755076271,0.6594792774207358,0.011946694189767933,6.692065637113812,0.12116510814820591,0.6259757753590895,0.010010411967285917,0.1895356301060373,0.009981194155768666,0.19422835633626095,0.013488323458849136,0.19587513935340023,0.013646707399849968,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Classic methods,classic-2,rerun_same_protocol
ChEMBL10k,assay,risk_calibrated_ad,10,10,1,0.5135918814970059,0.011985514703673247,0.20192856680602805,0.0156783919415858,0.01261068594532649,0.005760981221936235,0.4943621877437699,0.018010517950327046,0.15740247001670343,0.007804659011951132,0.19188944654048412,0.014376105618836345,0.19548306148055206,0.014987177361397342,0.19632107023411371,0.01418651379917771,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Direct mechanism competitors,direct-2,rerun_same_protocol
ChEMBL10k,assay,risk_calibrated_tanimoto,10,10,1,0.516027356850695,0.013889665771254852,0.20941474966608348,0.016699711919255632,0.011606710274188779,0.006535347390027803,0.49447229628650735,0.018021287111164786,0.15743379019251405,0.007808003540547481,0.19282975795773857,0.01594484615228635,0.1904015056461731,0.015899121601660907,0.19392419175027867,0.013695319304738785,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Direct mechanism competitors,direct-1,rerun_same_protocol
ChEMBL10k,assay,risk_conformal_uq,10,10,1,0.5150403793218677,0.015368911472311547,0.20558427650169359,0.018233945345982702,0.34188653096811755,0.015256648709612998,1.3112903337811928,0.05884933309453689,0.3343895155600802,0.009622746452740099,0.18840990049876988,0.011429753467145327,0.19303638644918444,0.013133013389706788,0.19409141583054623,0.012909872284694864,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Recent same-task OOD/UQ,recent-5,rerun_same_protocol
ChEMBL10k,assay,risk_ensemble_variance,10,10,1,0.5150481654849614,0.015378162244962216,0.20559379917976642,0.018256322150590656,0.251670948903637,0.015089211458373549,1.1549452576715926,0.0675662635640088,0.2687670180346394,0.0051565952784284694,0.18838206840023125,0.011427571287838048,0.19297365119196985,0.013120187446258669,0.19403567447045705,0.012903586430948544,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Recent same-task OOD/UQ,recent-3,rerun_same_protocol
ChEMBL10k,assay,risk_isotonic_uq,10,10,1,0.5165658882774935,0.0166517537657469,0.20352457955458428,0.017542546984733766,0.015106583301865682,0.007479590339706914,0.4948199909701779,0.017298602541342276,0.15757558830422105,0.007582201085824732,0.18937005697137196,0.011333259175057828,0.1934755332496863,0.012554716743999269,0.19425863991081377,0.011526622019309877,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Recent same-task OOD/UQ,recent-4,rerun_same_protocol
ChEMBL10k,assay,risk_knn_tanimoto,10,10,1,0.5214116434408027,0.0114047158670101,0.21252330459362204,0.017024933893120126,0.5625294887480201,0.013063597673730378,1.7604841872604138,0.04498477531045784,0.510251960179638,0.0076170975689446,0.18923574245657493,0.012027939326917852,0.18770388958594725,0.013638567324784582,0.19275362318840575,0.012446962360476406,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Classic methods,classic-1,rerun_same_protocol
ChEMBL10k,assay,risk_mahalanobis,10,10,1,0.4958661907893235,0.01683516323441809,0.2010359534531771,0.014880266889343564,0.11884032631638912,0.0077490776077064625,0.609963267320085,0.026096941709693993,0.18294019742436904,0.008153721723181554,0.19739994756665818,0.01623631181071313,0.19836888331242158,0.015191780042825913,0.19643255295429204,0.013827652787673962,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Recent same-task OOD/UQ,recent-1,rerun_same_protocol
ChEMBL10k,assay,risk_mara,10,10,1,0.5431967721583941,0.014413971913154099,0.22933747303176272,0.014240893905924104,0.013176326188696599,0.007177891975184698,0.4923388945276705,0.018110968443377368,0.15673299111473327,0.007788996658094173,0.1787962060490695,0.013916605627244685,0.18412797992471766,0.013684820776534018,0.18779264214046817,0.013735593079649557,0.21261865832541602,0.02043573744663758,0.01688358557077476,0.012001683939525694,Proposed,main,ours_rerun_same_protocol
