baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_ensemble_variance,failure_auprc,680,0.1049511704687044,0.1058959922187584,0.9691176470588236,2.6113632456243693e-112,0.1000897719484126,0.1094069247544664,3.1336358947492434e-110,True
risk_ensemble_variance,risk_brier,680,0.1775116110540094,0.1663733528535975,1.0,2.6281818569745956e-113,0.1722802799939886,0.1828279533766791,3.994836422601385e-111,True
risk_ensemble_variance,selective_risk_at_80,680,0.0226978729845426,0.0204081632653061,0.8602941176470589,2.2782047602854116e-95,0.021305947621214,0.0241641507775978,1.9820381414483082e-93,True
risk_ensemble_variance,risk_nll,680,1.636981627739072,1.4398381856965785,1.0,2.6281818569745956e-113,1.5680299951641146,1.7036602530609295,3.994836422601385e-111,True
risk_isotonic_uq,risk_coverage_auc,680,0.0485746498438224,0.0488656034259563,0.9794117647058824,6.728002481051898e-113,0.0467587348834542,0.0503848422038391,8.54456315093591e-111,True
risk_isotonic_uq,risk_ece_10bin,680,-0.0022275465218985,-0.0024557897079014,0.4661764705882353,0.9604954122421636,-0.0041983443175105,-0.0001156223480823,1.0,False
risk_isotonic_uq,selective_risk_at_90,680,0.0142415805203023,0.0121765208015096,0.8294117647058824,7.243640736122798e-88,0.0131803244817112,0.0152679507047142,5.7224761815370104e-86,True
risk_isotonic_uq,failure_auroc,680,0.1149944684228446,0.1171793902378435,0.9823529411764704,7.000267356569385e-113,0.1107730097746119,0.1193662504406773,8.750334195711731e-111,True
risk_isotonic_uq,failure_auprc,680,0.1209028226490626,0.1172713715778155,0.9955882352941176,2.7712406023192206e-113,0.1158401232282891,0.1260131540595518,3.994836422601385e-111,True
risk_isotonic_uq,risk_brier,680,0.009835031584941,0.0098382587241772,0.9602941176470589,4.696759844555024e-111,0.0093926238809748,0.0102800147189422,5.260371025901627e-109,True
risk_isotonic_uq,selective_risk_at_80,680,0.0230603842803623,0.019419306184012,0.8558823529411764,1.603592959036325e-93,0.0215203275721623,0.0245432004317282,1.3630540151808762e-91,True
risk_isotonic_uq,risk_nll,680,0.0616245400300262,0.0388383682434629,0.9529411764705882,2.7152224178753735e-110,0.0565952123478431,0.0667629517976944,2.9324402113054034e-108,True
risk_knn_tanimoto,risk_coverage_auc,680,0.0251054340238485,0.0255036101792371,0.901470588235294,1.016487597503541e-99,0.0236009664610913,0.0265833653996393,9.656632176283638e-98,True
risk_knn_tanimoto,risk_ece_10bin,680,0.2176113658981465,0.1892807966107242,0.9852941176470588,4.790669386400736e-113,0.2072156822563358,0.2287527249166343,6.179963508456949e-111,True
risk_knn_tanimoto,selective_risk_at_90,680,0.0036643005369038,0.003901895206243,0.5897058823529412,1.0784147345027985e-18,0.0028484983141054,0.0044644809125134,2.372512415906157e-17,True
risk_knn_tanimoto,failure_auroc,680,0.0526819274657786,0.0526652580224009,0.8808823529411764,2.400946999118373e-91,0.0492164754481938,0.0560908279849797,1.9927860092682495e-89,True
risk_knn_tanimoto,failure_auprc,680,0.0390912847191038,0.0378994205785782,0.836764705882353,1.858766522704962e-68,0.0353506772432706,0.042431109414863,1.1152599136229773e-66,True
risk_knn_tanimoto,risk_brier,680,0.1113456207372631,0.0759803288012351,0.976470588235294,6.728002481051898e-113,0.1040137742536759,0.1192917038239462,8.54456315093591e-111,True
risk_knn_tanimoto,selective_risk_at_80,680,0.0069878769591656,0.0068634084300769,0.6485294117647059,2.487522170470846e-30,0.0059084507677105,0.0080898360058931,8.706327596647961e-29,True
risk_knn_tanimoto,risk_nll,680,0.6041000376849783,0.3759087752918708,0.9955882352941176,2.734763350181057e-113,0.5590422602787315,0.6519211711934578,3.994836422601385e-111,True
risk_mahalanobis,risk_coverage_auc,680,0.1141770259768484,0.1179323104392366,0.9970588235294118,2.7227110712939556e-113,0.1100775380677332,0.1181656770391565,3.994836422601385e-111,True
risk_mahalanobis,risk_ece_10bin,680,0.2251169626224236,0.2275249048302717,0.998529411764706,2.6398164980450183e-113,0.2191344189304882,0.2311268994354472,3.994836422601385e-111,True
risk_mahalanobis,selective_risk_at_90,680,0.029021059775408,0.0290510127531883,0.9720588235294118,1.6770802090235446e-110,0.0277898954982534,0.0302352246944326,1.8280174278356637e-108,True
