property,evaluation_split,method,seeds,cases,failure_auroc_mean,failure_auroc_std,failure_auprc_mean,failure_auprc_std,risk_nll_mean,risk_nll_std,risk_brier_mean,risk_brier_std,risk_ece_10bin_mean,risk_ece_10bin_std,risk_coverage_auc_mean,risk_coverage_auc_std
hof,ood,risk_knn_tanimoto,5,5,0.592239796714071,0.02206094750454773,0.9155183810370857,0.007172749207253878,0.5917410526257987,0.02383175861209805,0.1645039126062237,0.0040615318678011705,0.17243988727267237,0.004962924021805219,0.8520016928236395,0.010767716042844858
hof,ood,risk_mahalanobis,5,5,0.5687245782201714,0.017300592693994983,0.9070839337298381,0.005686189861219907,0.8794403446875428,0.022413422118058825,0.28031521957170624,0.004289764738147954,0.36513541684359146,0.006545089670413024,0.8596037459020268,0.010342320338193553
hof,ood,risk_mara,5,5,0.6325559668781192,0.007776940444921246,0.9229096500735252,0.004238942916024537,1.2835780550633338,0.03196357052227136,0.5045440730868944,0.014461248178591386,0.630861798134948,0.013774075687905578,0.8381447514650657,0.007696936605697493
hof,ood,risk_mara_rank_fusion,5,5,0.6705749148867579,0.016749430892388496,0.9309411165485046,0.0046448242636654815,1.2143227467797892,0.023207324318615028,0.4720874353440399,0.009836369360740888,0.6061049093098299,0.01049901363134271,0.8251318548583484,0.009079472727120922
hof,ood,risk_mara_rank_fusion_inductive_cdf,5,5,0.6707706136301914,0.016563968454270012,0.9309263601054676,0.004929279630734978,1.2208027768869076,0.020096881772464065,0.47591121068747577,0.00802398446320732,0.6093809559108048,0.008975803681481771,0.8251611590044424,0.008917954510888256
hof,ood,risk_rank_fusion_inductive_without_mara,5,5,0.6778661826869102,0.018960488201185035,0.932049822744619,0.004781747680465514,1.2226082955457251,0.02148122381610588,0.47790580370407526,0.008570495364303609,0.6115468608671654,0.009317855925427405,0.8222148840603136,0.009554623012385305
hof,ood,risk_rf_error_predictor,5,5,0.606662599051363,0.023143150608180015,0.9118268850226767,0.005349268340596064,0.7672118762697221,0.015396640574201766,0.283638831545886,0.0075272424639475765,0.41279612265885224,0.011849966302999693,0.8430976283459429,0.009267289889959455
hof,ood,risk_scalar_full,5,5,0.6369979934009196,0.009038976614141714,0.9222091974816194,0.005333253309420994,0.6110461403106473,0.012426166519287298,0.21018939737451822,0.00573106981482221,0.3189047024076504,0.013746005959849126,0.835535119873593,0.007266229458856795
hof,ood,risk_uncertainty_only,5,5,0.6059381914640974,0.025748817820596594,0.9120898312953198,0.009890345533070308,0.6607720516520323,0.006844319663457579,0.23424599034167182,0.0032219494842399094,0.35554480361581453,0.00799589968930088,0.8448466234018308,0.006678999855343983
hof,ood,risk_validation_knn_error,5,5,0.7040984981690938,0.018685479791102577,0.9333653373102541,0.006924354022361086,1.8064134795292552,0.11225131559662925,0.5178843629136399,0.018383974431643035,0.6402604682479714,0.015433155275899795,0.8097239973913082,0.008908510902509844
